#,Algo,Maths,CIE,TIM,Phys,Elec,Archi
1,B,E,C,D,D,A,A
2,B,A,C,A,A,B,C
3,B,B,C,A,C,C,B
4,BD,ABC,D,B,B,A,C
5,B,C,B,C,B,B,D
6,BD,A,B,D,C,D,C
7,B,ABD,C,C,B,B,A
8,B,C,B,B,B,D,B
9,C,BC,B,A,D,B,D
10,D,AB,C,C,C,B,C
